University,Program,Degree,Entrance Semester,Decision,Decision Date,GPA,GRE Verbal,GRE Writing,GRE,Date Added,Notes
University Of Toronto,Clinical Psychology,Masters,F21,Rejected,2021-03-31,,,,,2021-03-31,"Was expecting rejection because I didnâ€™t receive an Interview, but was kind of disappointed by how long it took them to inform me. Standard rejection letter attached to email."
SUNY Albany,Clinical Psychology,PhD,F21,Interview,,,,,,2021-03-31,"Has anyone heard from Albany since interviews? I received an email 2 1/2 weeks ago saying they were still deciding and I was still being considered, but radio silence since."
The University Of Victoria,Counselling Psychology,Masters,F21,Rejected,2021-03-31,,,,,2021-03-31,
University Of Victoria,Counselling Psychology,Masters,F21,Rejected,2021-03-31,,,,,2021-03-31,
University Of North Texas,Counseling Psychology,PhD,F21,Rejected,2021-03-31,,,,,2021-03-31,Had been waitlisted in February. 0 for 5 this cycle. 3rd cycle applying without acceptance into any programs.
OISE,School And Clinical Child Psychology,Masters,F21,Rejected,2021-03-31,,,,,2021-03-31,
Marquette University,Clinical Psychology,PhD,F21,Accepted,2021-03-17,,,,,2021-03-31,I got off the waitlist - just officially accepted my offer. I'm so excited!!! Anyone on this site who will be in my cohort?
St. Johns University,Clinical Psychology,PhD,F21,Wait listed,,,,,,2021-03-31,"Emailed DCT and received a response that I am, in fact, waitlisted. Didn't say where on the list. Adult track. He said emails should have gone out from admissions and to check spam folder but I informed him they never did...lol. I have another offer I'm excited about (Adelphi) so I will wait to tell them by the 15th if I don't get a yes from St. John's. Good luck everyone!"
University Of Connecticut,Psychology (Language & Cognition),PhD,F21,Rejected,2021-03-31,,169,3.50,162,2021-03-31,expected because I was not invited to the interview
"C.W. Post Long Island, LIU Post",Clinical Psychology,PsyD,F21,Accepted,2021-03-20,3.97,,,,2021-03-31,I am accepting the offer and I am also accepting the RA position.
University Of Houston,Industrial Organizational Psychology,PhD,F21,Rejected,2021-03-30,,,,,2021-03-31,
University Of Toronto Scarborough (UTSC),Clinical Psychology,Masters,F21,Rejected,2021-03-31,,,,,2021-03-31,
Queens College,Clinical Psychology,PhD,F21,Wait listed,,,,,,2021-03-31,"To the poster below, Iâ€™ve been in contact with the DCT and was told there were a lot of hiccups with funding by the GC, and as of right now, they only have very few spots in the program. They are currently negotiating more admit slots and therefore canâ€™t give out offers/information just yet. Whenever they receive any updates they will notify us."
San Diego State University (SDSU),Psychology,Masters,F21,Wait listed,,3.76,,,,2021-03-31,Waitlisted after hearing nothing since applying in January. Will be accepting another offer.
Antioch University New England,Clinical Psychology,PsyD,F21,Accepted,2021-03-31,,,,,2021-03-31,Declined my offer today. It was such a difficult decision because it's such a wonderful program with extremely kind and supportive faculty. I hope this helps someone off the waitlist!
University Of Western Ontario,Counselling Psychology,Masters,F21,Accepted,2021-03-15,,,,,2021-03-31,"Had an interview on March 9th, and received the acceptance letter on March 15th."
St Johns University,Clinical Psychology,PhD,F21,Wait listed,,,,,,2021-03-31,"I need more adult track people to respond! haha 4 of the offers are being held still, I really hope one of them gets an offer elsewhere and turns down their spot! If anyone is the person holding their offer for the adult track, please fill us in on what youre thinking!! Hearing anything is better than nothing right now!"
University Of Texas At Austin,Counseling Psychology,PhD,F21,Rejected,2021-03-31,,,,,2021-03-31,
University Of Windsor,Clinical Psychology,PhD,F21,Rejected,2021-03-17,4.00,,,,2021-03-31,Had interview and was waitlisted. Received a generic email saying all spots had been filled.
Nova Southeastern University,Clinical Psychology,PsyD,F21,Accepted,2021-01-12,,,,,2021-03-31,"Found out I was accepted in January after interviewing. Unfortunately, unless they continue allowing online coursework options this fall, I will be unable to attend in person and will be deferring my admission to fall 2022. Hopefully this will help someone on the waitlist for this year!"
York University,Clinical Psychology,Masters,F21,Rejected,2021-03-31,,,,,2021-03-31,Reviewed - Unsuccessful - off the waitlist.
St Johns University,Clinical Psychology,PhD,F21,Interview,,,,,,2021-03-31,To the St Johns poster below. Are you releasing any other offers you had? Thank you!!
University Of Houston,Industrial Organizational Psychology,PhD,F21,Rejected,2021-03-31,,,,,2021-03-31,Happened to check my portal and found a section providing a link to my rejection letter.
St. Johns University,Clinical Psychology,PhD,F21,Accepted,2021-03-30,,,,,2021-03-31,Email from DCT with admissions offer for child track. DCT said he will be calling today to give more information. I will be accepting this spot.
George Fox University,Clinical Psychology,PsyD,F21,Wait listed,,,,,,2021-03-31,"to poster asking about George Fox, I was also waitlisted on 3/12 but haven't heard anything back from them since."
Georgia Southern University,Psychology Experimental,Masters,F21,Accepted,2021-03-30,3.57,,,,2021-03-30,"Received an email from the director and my potential PI. Waiting to hear back from another school, but very excited to receive an offer."
McGill University,Educational Psychology - Human Development,Masters,F21,Rejected,2021-03-30,,,,,2021-03-30,Did anyone get admitted to this program? A bit disappointed but I got into another higher-ranked program.
Wright Institute,Clinical Psychology,PsyD,F21,Wait listed,,,,,,2021-03-30,"For those who did get accepted, when do you have to let them know by? Just wanna know so I can figure out when I might be able to hear back from them"
California State University Long Beach,Counseling Psychology,Masters,F21,Accepted,2021-03-30,,,,,2021-03-30,
University Of Houston,Industrial Organizational Psychology,PhD,F21,Accepted,2021-03-30,,,,,2021-03-30,I havenâ€™t hear back. I donâ€™t know why is so difficult for them give a return! I know that the deadline for enrollment is April 13th.
University Of Virginia,Psychology,PhD,F21,Wait listed,,,,,,2021-03-30,notified today that I was waitlisted. Not sure how many are waitlisted or where I am on the list. Department said the central admission office requires a decision to be entered for all applicants by 4/1 so a decision of waitlist was entered for you at this time.
University Of Western Ontario,School And Applied Child Psychology,Masters,F21,Rejected,2021-03-30,,,,,2021-03-30,
Nova Southeastern University,Clinical Psychology,PsyD,F21,Wait listed,,,,,,2021-03-30,Really hoping to get off the waitlist as this is my top school :(
George Fox University,Clinical Psychology,PsyD,F21,Wait listed,,,,,,2021-03-30,to the poster talking about George fox - I am unsure about any updates about people being accepted but I would email the admissions counselor! She responds quickly usually
George Fox University,Clinical Psychology,PsyD,F21,Interview,,,,,,2021-03-30,To the poster above:  I feel like it is so weird I haven't heard anything.  Have you heard about anyone else hearing back?
Nova Southeastern University,Clinical Psychology,PsyD,F21,Wait listed,,,,,,2021-03-30,told them to take me off of the waitlist
George Fox University,Clinical Psychology,PsyD,F21,Wait listed,,,,,,2021-03-30,to the poster asking about george fox- I got a notification 3/12 about being on the waitlist. told them to take me off of it though
St. Johns University,Clinical Psychology,PhD,F21,Wait listed,,,,,,2021-03-30,TTPB: idk what track you applied for but I reached out to the DCT today and was told 2 of the child tracks have accepted and 3 are being held atm. Congrats to all accepted!
New Mexico State University,Counseling Psychology,PhD,F21,Accepted,2021-03-25,,,,,2021-03-30,
University Of Victoria,Counselling Psychology,Masters,F21,Rejected,2021-03-30,,,,,2021-03-30,
University Of Central Florida (UCF)ntral,Industrial Organizational Psychology,Masters,F21,Rejected,2021-03-30,,,,,2021-03-30,
Nova Southeastern University,Clinical Psychology,PsyD,F21,Wait listed,,,,,,2021-03-30,
Northwestern University - Feinberg,Clinical Psychology,Masters,F21,Interview,,,,,,2021-03-30,"Just received another interview invite from PI: EL, after being invited by JG."
Nova Southeastern University,Clinical Psychology,PsyD,F21,Wait listed,,,,,,2021-03-30,Wonâ€™t know if accepted off the waitlist till summer :/ this year was horrible
Nova Southeastern University,Clinical Psychology,PsyD,F21,Wait listed,,,,,,2021-03-30,
Nova Southeastern University,Clinical Psychology,PsyD,F21,Wait listed,,3.73,,,,2021-03-30,
University Of Western Ontario,School And Child Psychology,Masters,F21,Rejected,2021-03-30,,,,,2021-03-30,
George Fox University,Clinical Psychology,PsyD,F21,Interview,,,,,,2021-03-30,I know I shouldn't ask here but has anyone heard from George Fox University's PsyD program?
The Wright Institute,Clinical Psychology,PsyD,F21,Wait listed,,,,,,2021-03-30,suuuuuucks (ditto)
"Teachers College, Columbia University",Clinical Psychology,PhD,F21,Wait listed,,,,,,2021-03-30,Can the person who posted the TC acceptance state the PI Initials and/or if they plan to accept the offer? Were you offered acceptance after previously being on the waitlist?
University Of Toronto (OISE),Counselling And Clinical Psychology,Masters,F21,Rejected,2021-03-30,,,,,2021-03-30,Received my rejection to the MA CCP program today! It's sad but I am fortunate enough to be offered admission to their MA DPE program at OISE.
University Of Toronto,Counselling Psychology,Masters,F21,Rejected,2021-03-30,3.70,,,,2021-03-30,Canadian applicant. Informed through email to check portal; Rejection letter in application site. Congratulations to anyone who got in!!
University Of Houston,Industrial Organizational Psychology,PhD,F21,Wait listed,,,,,,2021-03-30,Did anyone hear back from the University of Houston? I have not heard anything.
Northwestern University,Clinical Psychology,Masters,S21,Interview,,,,,,2021-03-30,To the Northwestern Masters poster below. Do you mind posting which PI? TIA
Baylor University,Clinical Psychology,PsyD,F21,Accepted,2021-03-30,3.93,,,,2021-03-30,"To the poster asking if I had other offers--I accepted the offer to Baylor, but I wasn't holding on to any other offers. It was my only one :)"
Northwestern University - Feinberg,Clinical Psychology,Masters,F21,Interview,,,,,,2021-03-30,Email to interview for MA after PhD rejection
University Of Toronto,OISE  School And Clinical Child Psychology,Masters,F21,Rejected,2021-03-30,4.00,,,,2021-03-30,Received e-mail to check portal. rejected :( good luck to everyone else (international)
Rutgers University - New Brunswick,Clinical Psychology,PsyD,F21,Wait listed,,,,,,2021-03-30,Has anyone heard from Rutgers re waitlist? PsyD program
San Jose State University,Industrial Organizational Psychology,Masters,F21,Rejected,2021-03-29,,,,,2021-03-30,"originally waitlisted, email said that they were unable to accept anyone off the waitlist this year"
University Of North Dakota,Counseling Psychology,PhD,F21,Accepted,2021-03-22,,,,,2021-03-29,Got accepted off the waitlist. Will accept the offer!
University Of Texas At Austin,School Psychology,Masters,F21,Rejected,2021-03-29,,,,,2021-03-29,
Texas State University,School Psychology,Masters,F21,Accepted,2021-03-29,,,,,2021-03-29,Previous masters in social work; 3.65 graduate GPA.
The University Of British Columbia,Counselling Psychology,Masters,F21,Rejected,2021-03-29,,,,,2021-03-29,
University Of British Columbia,Counselling Psychology,Masters,F21,Rejected,2021-03-29,,,,,2021-03-29,
"Personality, & Affective Science Psychology, San Francisco State University (SFSU)",Social,Masters,F21,Rejected,2021-03-29,3.92,,,,2021-03-29,took ridiculously long to get this decision for it just to be a rejection lmaoo... also they said they would send the physical decision soon bruh why would i want an official rejection?
"California State University, Los Angeles",Counseling Option In School Psychology,Other,F21,Accepted,2021-03-29,3.60,157,4.50,155,2021-03-29,
University Of Houston,Clinical Psychology,PhD,F21,Rejected,2021-03-29,,,,,2021-03-29,"Happened to check the portal, didn't receive an email notification."
East Tennessee State University (ETSU),Clinical Psychology,PhD,F21,Rejected,2021-03-29,,,,,2021-03-29,
University Of Georgia,Industrial Organizational Psychology,PhD,F21,Rejected,2021-03-29,,,,,2021-03-29,
St Johns University,Clinical Psychology,PhD,F21,Wait listed,,,,,,2021-03-29,I've heard NOTHING! I am reaching out to the administrator. Will post if I hear anything substantive back.
University Of New Mexico,Clinical Psychology,PhD,F21,Wait listed,,,,,,2021-03-29,"Hey all! I made a form post where we can chat about this. Just search ""university of New Mexico clinical psychology"" in the forum and it should come up! You have to make an account to reply"
Rice University,Human Computer Interaction And Human Factors Psychology,PhD,F21,Rejected,2021-03-29,3.95,,,,2021-03-29,"At this point it was expected. I am a good candidate but made mistakes on my SoP since it was the first one I ever did. At least I have other offers, good luck to all who received an acceptances."
University Of New Mexico,OTHER,PhD,F21,Wait listed,,,,,,2021-03-29,"TTPB: regarding the Clinical Psychology program
I can't speak on behalf of the previous poster but can you share what your PI said here? The forum is so confusing and hard to use! I know there are many of us who are seeking any form of update we can get"
University Of Western Ontario,Counselling Psychology,Masters,F21,Interview,,,,,,2021-03-29,*Ignore interview* I haven't heard about interviews yet from this program either! I also haven't seen any acceptance/rejection posts so they might just be delayed?
St Johns University,Clinical Psychology,PhD,F21,Wait listed,,,,,,2021-03-29,"Has anyone heard anything new? The suspense is killing me, I wish I knew how many spots have been taken!"
Queens College (CUNY),Clinical Psychology,PhD,F21,Interview,,,,,,2021-03-29,"Calling on anyone that's heard from Queens College CUNY...anyone!? Interview was two months ago, what is going on? Does any have information or been in contact with their POI or DCT?"
"University Of Massachusetts, Boston",Counseling Psychology,PhD,F21,Accepted,2021-02-11,,,,,2021-03-29,I am accepting the offer! :)
Boston University,Clinical Psychology,PhD,F21,Rejected,2021-03-29,,,,,2021-03-29,Impersonal rejection email. About time! What took them so long hahahah
University Of New Mexico,Clinical Psychology,PhD,F21,Wait listed,,,,,,2021-03-29,Iâ€™m also waiting- if you follow up in the forum Iâ€™ll connect with you on what my POI specifically told me
University Of New Mexico,Clinical Psychology,PhD,F21,Wait listed,,,,,,2021-03-29,What is going on with UNM? Has anyone heard anything since the interviews? Its been a month! This is so frustrating!
Temple University,Clinical Psychology,PhD,F21,Rejected,2021-03-29,,,,,2021-03-29,I'm not surprised I received a rejection considering I didn't receive an interview invite.
LIU Brooklyn,Clinical Psychology,PhD,F21,Interview,,,,,,2021-03-29,Does anyone know if LIU Brooklyn is done extending invites?
California State University Long Beach,Kinesiology Option Sport And Exercise Psychology,Masters,F21,Accepted,2021-03-28,3.42,,,,2021-03-28,
University Of Denver,Sport And Performance Psychology,Masters,F21,Accepted,2021-03-18,3.42,,,,2021-03-28,
University Of Toronto (OISE),Developmental Psychology And Education (MEd),Masters,F21,Accepted,2021-03-26,,,,,2021-03-28,
Colorado State University,Counseling Psychology,PhD,F21,Accepted,2021-03-11,,,,,2021-03-28,Accepted the offer!
University Of Houston,Clinical Psychology,PhD,F21,Rejected,2021-03-27,,,,,2021-03-28,Received an email telling me to check the portal. Not surprised by the rejection because I never received an interview offer.
Wright Institute,Clinical Psychology,PsyD,F21,Wait listed,,,,,,2021-03-27,will decline
The Wright Institute,Clinical Psychology,PsyD,F21,Accepted,2021-03-26,,,,,2021-03-27,"Got a call from the interviewer on 3/25, received the official offer through email on 3/26, wish everyone on the waitlist could have a chance to get in or get into other preferred programs!"
Northwestern University,Clinical Psychology,Masters,S21,Interview,,4.00,163,6.00,161,2021-03-27,"Contacted about interview on 3/19, interviewed with PI on 3/24."
University Of Toronto (OISE),MEd Developmental Psychology And Education,Masters,F21,Accepted,2021-03-26,4.00,,,,2021-03-27,"Received an email from SGS saying decision made, had to log into applicant portal to see acceptance letter."
Wright Institute,Clinical Psychology,PsyD,F21,Wait listed,,,,,,2021-03-27,Suuuucks
University Of Victoria,Clinical Psychology,Masters,F21,Rejected,2021-03-26,4.00,,,,2021-03-27,Got an email saying I was rejected.
University Of South Florida,Industrial Organizational Psychology,PhD,F21,Accepted,2021-03-26,,,,,2021-03-27,Accepted off of waitlist! So excited!
John Jay College Of Criminal Justice,Forensic Psychology,Masters,F21,Accepted,2021-03-27,3.96,,,,2021-03-27,"Conditional acceptance -- have to complete an undergrad stats course while at John Jay. I'm a little confused, because I've already completed a stats course at my current university, but oh well. Good luck to everyone waiting on a decision!"
Tulane University,School Psychology,PhD,F21,Accepted,2021-03-15,,,,,2021-03-27,
Purdue University,Social Psychology,PhD,F21,Rejected,2021-03-18,,,,,2021-03-27,"no interview, just email notif"
"University Of California, Irvine",Social Psychology,PhD,F21,Rejected,2021-03-05,,,,,2021-03-27,"I had no interview, just got notified by email."
Northeastern University,Counseling Psychology,PhD,F21,Accepted,2021-03-26,,,,,2021-03-26,I was accepted but I am not sure if I will accept since I took an offer for another school. Hope the next person enjoys the opportunity. Good luck
The Wright Institute,Clinical Psychology,PsyD,F21,Wait listed,,,,,,2021-03-26,Accepting my spot in waitlist for now but not sure when we will hear back for sure :/
University Of Denver,Clinical Psychology,PsyD,F21,Accepted,2021-03-26,,,,,2021-03-26,to the poster below - I am considering two schools at the moment and was narrowing down my choices (marywood and uindy)
University Of Denver,Clinical Psychology,PsyD,F21,Wait listed,,,,,,2021-03-26,To the U Denver PsyD poster below. Do you mind posting what other offer you accepted? TIA
University Of Denver,Clinical Psychology,PsyD,F21,Accepted,2021-03-16,,,,,2021-03-26,just released my offer! hope this helps anyone who is eager to go here :)
The Wright Institute,Clinical Psychology,PsyD,F21,Wait listed,,,,,,2021-03-26,Itâ€™s my dream program but the debt is intimidating. Glad Iâ€™m on the waitlist but itâ€™s just more uncertainty!
Saint Louis University (SLU),Clinical Psychology,PhD,F21,Accepted,2021-03-26,,,,,2021-03-26,Got a call from PI (DK) today. I canâ€™t believe it. Most likely accepting
Northwestern University,Clinical Psychology,Masters,F21,Interview,,,,,,2021-03-26,
"Teachers College, Columbia University",Clinical Psychology,Masters,F21,Accepted,2021-03-02,,,,,2021-03-26,
The Wright Institute,Clinical Psychology,PsyD,F21,Wait listed,,3.67,,,,2021-03-26,Likely to decline my place on the waitlist
University Of Western Ontario,Counseling Psychology,Masters,F21,Interview,,,,,,2021-03-26,Hello fellow Counselling Psychology MA applicants! Has anyone heard about interviews yet? Thank you :)
Texas Tech University,Clinical Psychology,PhD,F21,Wait listed,,,,,,2021-03-26,If whoever is holding an offer from AS sees this - is there a chance you're going to release it?
Pacific University (Oregon),Clinical Psychology,PsyD,F21,Wait listed,,,,,,2021-03-26,"The 4/15 deadline is approaching, is anyone still planning on releasing their offers for the health or adult track? Thank you!!!"
University Of Georgia,Behavioral And Brain Sciences (Health Psychology),PhD,F21,Rejected,2021-03-25,,,,,2021-03-26,
"Learning Sciences, McGill University",Educational Psychology,Masters,F21,Accepted,2021-03-25,3.90,,,,2021-03-26,I got the offer letter on Mar 25 in the morning.
Opportunity,Clinical Psychology,PhD,F21,Wait listed,,,,,,2021-03-26,"For anyone who didn't get in this cycle and is looking to gain more research experience... Mass General Hospital in Boston is recruiting now for a research coordinator to work in community-based psych and with SMI populations! 
Here is a link:
partners.taleo.net/careersection/jobdetail.ftl?job=3146838"
Opportunity,Clinical Psychology,PhD,F21,Wait listed,,,,,,2021-03-26,"For anyone who didn't get in this cycle and is looking to gain more research experience... Mass General Hospital in Boston is recruiting now for a research coordinator to work in community-based psych and with SMI populations! 
Here is a link:
https://partners.taleo.net/careersection/jobdetail.ftl?job=3146838&tz=GMT-04:00&tzname=America/New_York⟨=en
"
Rowan University,School Psychology,Masters,F21,Interview,,3.94,,,,2021-03-26,
Seton Hall University,Counseling Psychology,PhD,F21,Accepted,2021-03-23,,,,,2021-03-26,Phone call from PI. Accepted
University Of Michigan (Dearborn),Clinical Psychology,Masters,F21,Accepted,2021-03-25,,,,,2021-03-26,"Accepted but was not offered assistantships or scholarships, will decline to hope this helps someone else!"
University Of Houston Clear Lake,Clinical Psychology,Masters,F21,Accepted,2021-03-26,,,,,2021-03-26,
Saint Louis University (SLU),Clinical Psychology,PhD,F21,Rejected,2021-03-26,,,,,2021-03-26,"Email to check portal which had rejection letter. Interviewed on 02/11. This one stings. Felt like it was a perfect fit as far as training, research, PI, etc."
New York University,Psychology,Masters,F21,Accepted,2021-03-26,,,,,2021-03-26,"I got rejected from PhD, but accepted into MA. I'm blown away truly."
Concordia University,Clinical Psychology,Masters,F21,Rejected,2021-03-26,,,,,2021-03-26,"I interviewed and I believe I was on the waiting list, so my POIs top choice student must have accepted the offer.  I received an offer for another Clinical Psych program, so I'm not too upset. :)"
University Of British Columbia,Counselling Psychology,Masters,F21,Rejected,2021-03-26,,,,,2021-03-26,Rejected via email from both MA and MEd today.
Texas A&M University - College Station (TAMU),Industrial Organizational Psychology,PhD,F21,Wait listed,,,,,,2021-03-26,"I received an email from the program coordinator telling me that they've extended the admission offer for the top candidate and put me on the waiting list until they hear back from ""top candidates"". If I got admission, I won't be attending this school."
Baylor University,Clinical Psychology,PsyD,F21,Wait listed,,,,,,2021-03-26,To the Baylor poster below. Congrats! Do you mind posting if you are letting go off other offers/acceptances from other programs and which one? Would super appreciate it!
University Of Delaware,School Psychology,Masters,F21,Accepted,2021-03-25,,,,,2021-03-26,"Waitlisted 3/12, accepted 3/25"
The Wright Institute,Clinical Psychology,PsyD,F21,Accepted,2021-03-12,,,,,2021-03-26,Would anyone be down to make a Facebook page/chat or use any other sort of social media to create something for the accepted students for fall 2021? :)
Baylor University,Clinical Psychology,PsyD,F21,Accepted,2021-03-25,3.93,,,,2021-03-26,Email from POI that I had been accepted off of the waitlist!
Saint Louis University (SLU),CLINICAL PSYCHOLOGY,PhD,F21,Wait listed,,,,,,2021-03-26,Has anyone accepted an offer from DK?
University Of North Texas,Educational Psychology,PhD,S21,Interview,,4.00,,,,2021-03-26,
Georgia Southern University,Experimental Psychology,Masters,F21,Interview,,3.57,,,,2021-03-26,Had a meeting with a potential PI this morning. Got notice from the director last week that the PI would schedule an interview. Professor emailed me yesterday for interview details. Hoping to get an offer extended!
University Of Tennessee,Experimental Psychology,PhD,F21,Accepted,2021-03-25,3.40,166,5.00,163,2021-03-26,"I was informed by my POI (TF) that he finally secured a spot for adding another student, and then I received the official offer. This lab is my best fit, so I will be accepting!"
University Of Victoria,Clinical Psychology,PhD,F21,Rejected,2021-03-25,,,,,2021-03-25,"Not sure when the status update was posted on the website but the application status was updated to ""Not Admitted"". Congrats to all individuals accepted into the program!"
University Of British Columbia,School/Applied Child Psychology,Masters,F21,Accepted,2021-03-12,,,,,2021-03-25,
Cornell University,Psychology,PhD,F21,Wait listed,,,,,,2021-03-25,
North Dakota State University,Psychology,PhD,F21,Rejected,2021-03-25,,,,,2021-03-25,LI informed me that they will not be able to offer me admission to the program.
Queens College,School Psychology,Masters,F21,Accepted,2021-03-25,,,,,2021-03-25,
Northern Arizona University,Clinical Psychology,PsyD,F21,Accepted,2021-03-25,,,,,2021-03-25,Interview just a few days ago and received acceptance today!
CUNY Graduate Center,Educational Psychology,PhD,F21,Rejected,2021-03-25,,,,,2021-03-25,"not suprised by this. A: 1, R: 2."
University Of Alabama,Clinical Psychology,PhD,F21,Interview,,,,,,2021-03-25,PI (RS) emailed to see if I was available and interested in interviewing because he's doing a second round of interviews with 3 applicants. Turned down the offer as I've already accepted an offer elsewhere.
University Of Zurich (UZH),Linguistics,Masters,F21,Accepted,2021-03-25,2.79,,,,2021-03-25,"Submitted apps 01/26, asked to submit additional docs on 02/26, accepted 03/25. Undergrad in physics at a top 10 US university, poor GPA (2.79). Did post-bacc classes in linguistics (GPA 4.00) and am a PhD student in clinical psychology (GPA 4.00) in a top US program (will be mastering out in spring 2021). 3 years research in biophysics/neuroscience, 1 year biomedical industry experience. Good luck to everyone else awaiting decisions!"
Ball State University,Counseling Psychology,PhD,F21,Rejected,2021-03-25,,,,,2021-03-25,I was not accepted off the waitlist. congrats to everyone else
Texas A&M University - College Station (TAMU),Clinical Psychology,PhD,F21,Accepted,2021-03-24,,,,,2021-03-25,"Got unofficial offer from POI March 12th, and received official acceptance letter from the department yesterday!  I am very excited and will be accepting!"
University Of South Carolina,School Psychology,PhD,F21,Interview,,,,,,2021-03-25,Pls disregard the university of South California post below! If anyone has heard from University of South Carolina let me know!
Adler University,Clinical Psychology,PsyD,F21,Interview,,,,,,2021-03-25,Received a call from the admission counselor saying I have been invited to an interview.
University Of Alabama,Clinical Psychology,PhD,F21,Interview,,,,,,2021-03-25,PI called me and is doing a 2nd round of interviews and invited me! Interview is on 03/29 - PI: RS
University Of Tulsa,Clinical Psychology,PhD,F21,Interview,,,,,,2021-03-25,I also have not heard anything. PI: JD
OISE - University Of Toronto,School And Clinical Psychology,Masters,F21,Wait listed,,,,,,2021-03-25,TTPB: What the initials of your advisor and did you interview with them? Also what were your stats if you don't mind sharing?
University Of Toronto,OISE - School And Clinical Child Psychology,Masters,F21,Accepted,2021-03-25,,,,,2021-03-25,I was notified on March 24 by my assigned faculty advisor via email. Today I received an email from the department to check SGS portal for my official offer letter.
PGSP- Stanford,Clinical Psychology,PsyD,F21,Wait listed,,3.91,,,,2021-03-25,"Interviewed on 2/2. Received an email on admission status update: ""On a shortlist of candidates under very high consideration"". Will know the results by 4/1 at the latest."
Francis Marion University,School Psychology,Masters,F21,Wait listed,,,,,,2021-03-25,
Brooklyn College,Experimental Psychology,Masters,F21,Accepted,2021-03-25,3.58,,,,2021-03-25,
Northwestern University,Cognitive Psychology,PhD,F21,Rejected,2021-03-25,,,,,2021-03-25,"Was invited for interview day, emailed poi my decision to accept other offer before this result out."
SUNY Albany,Clinical Psychology,PhD,F21,Wait listed,,,,,,2021-03-25,is anyone holding on to an offer at ualbany and planning to accept? just want to know if there's still a chance!
University Of Toronto,Psychology,PhD,F21,Wait listed,,,,,,2021-03-25,(international applicant) So.... at this point is only rejections? I still haven't heard anything
Cornell University,Psychology,PhD,F21,Rejected,2021-03-25,,,,,2021-03-25,
University Of Colorado Denver,Clinical Health Psychology,PhD,F21,Accepted,2021-03-23,,,,,2021-03-25,Will be accepting offer.
Kean University,Clinical Psychology,PsyD,F21,Accepted,2021-03-24,,,,,2021-03-25,Will be accepting :) Good luck to you all!
University Of British Columbia,Counselling Psychology,Masters,F21,Rejected,2021-03-23,,,,,2021-03-25,
"California State University, San Bernardino",Clinical Counseling Psychology,Masters,F21,Interview,,,,,,2021-03-25,
LIU Brooklyn,Clinical Psychology,PhD,F21,Accepted,2021-03-14,,,,,2021-03-25,"Declined their offer this past Monday. They only cover 20% tuition for the first three years, and I also had a creepy interview experience."
Miami University (OH),Psychology,PhD,F21,Wait listed,,,,,,2021-03-24,
Rutgers University - New Brunswick,Psychology,PhD,F21,Rejected,2021-03-19,,,,,2021-03-24,
Biola University,Clinical Psychology,PsyD,F21,Accepted,2021-03-22,3.50,150,5.00,147,2021-03-24,
New York University (NYU),Social Psychology,PhD,F21,Rejected,2021-03-24,,,,,2021-03-24,rejected from Ph.D. but admitted into Master of Arts program in Psychology without interview
Wake Forest University,Psychology,Masters,F21,Wait listed,,3.50,,5.00,,2021-03-24,"Generic waitlist email. Alright GPA. Experience: 3 research labs. 2 full time direct clinical positions. Multiple volunteer positions. 
Long family connections with the university."
LIU Brooklyn,Clinical Psychology,PhD,F21,Wait listed,,,,,,2021-03-24,"To the LIU poster below - I agree!! Congrats for at least pulling through, and thanks for sharing! Good luck w grad school :)"
LIU Brooklyn,Clinical Psychology,PhD,F21,Accepted,2021-03-24,,,,,2021-03-24,"No i got the call around last week, interview experience was creepy as well.."
LIU Brooklyn,Clinical Psychology,PhD,F21,Wait listed,,,,,,2021-03-24,"To the poster below, did you get the call today for the LIU Brooklyn offer? Thanks!"
LIU Brooklyn,Clinical Psychology,PhD,F21,Accepted,2021-03-24,,,,,2021-03-24,"Declined offer, the funding is nonexistent."
"Long Island University, CW Post",Clinical Psychology,PsyD,F21,Accepted,2021-03-19,,,,,2021-03-24,Accepted offer
Fairleigh Dickinson University,Clinical Psychology,PhD,F21,Accepted,2021-03-24,,,,,2021-03-24,
Penn State (PSU) University Park,Clinical Psychology,PhD,F21,Rejected,2021-03-24,3.85,,,,2021-03-24,"Rejected with no interview. I sort of assumed rejection this late in the game anyway! I am not sure why it took so long for them to reject me. Sort of off-putting how there was no prior contact and makes me feel like they did not even look at my application until now, CONGRATS to everyone who was accepted!!!"
Virginia Tech,Clinical Psychology,PhD,F21,Accepted,2021-03-24,,,,,2021-03-24,
University Of Montreal,Clinical Psychology,PhD,F21,Accepted,2021-03-24,,,,,2021-03-24,Got accepted without interview. Will be declining.
PGSP-Stanford,Clinical Psychology,PsyD,F21,Wait listed,,,,,,2021-03-24,"""on a short list of candidates under high consideration"". Not sure if waitlist, exactly. Over 500 applicants this year."
University Of British Columbia,Counselling Psychology,Masters,F21,Rejected,2021-03-24,,,,,2021-03-24,
Kean University,Clinical And School Psychology,PsyD,F21,Accepted,2021-03-24,3.98,,,,2021-03-24,"I will be accepting! Very excited, congrats to everyone offered admission!"
Northwestern University - Feinberg,Clinical Psychology,Masters,F21,Interview,,,,,,2021-03-24,Got an interview for MA after being rejected for their PhD program. PI: JG.
"Teachers College, Columbia University",School Psychology,Masters,F21,Accepted,2021-03-22,3.42,159,4.50,159,2021-03-24,
University Of New Hampshire,Psychology,PhD,S21,Accepted,2021-03-24,3.41,,,,2021-03-24,
